	summarized	lineages	abundances	resid	coverage
Coinfection-nanopore2023-20%-error-5%-minor-variant	[('Omicron', 0.9322028730371485), ('Delta', 0.0576922510834104), ('Other', 0.010104816962222596)]	BA.2.24 AY.41 BA.2.11 BA.2.63 BA.2.32 BA.2.3.2 BA.2.14 BA.2.50 BA.2.40 AY.32 L.2	0.78735358 0.04399368 0.03490031 0.02499999 0.01851850 0.01724140 0.01666670 0.01639339 0.01612899 0.01369857 0.01010482	13.397935136481676	97.6156238504498
Coinfection-nanopore2023-5%-error-5%-minor-variant	[('Omicron', 0.9242419983679577), ('Delta', 0.06249999997663663), ('Other', 0.012971999672490193)]	BA.2.24 XAH BA.2 BA.2.27 AY.3 AY.41 BA.2.63 AY.103 B.1.378 B.1.617.2	0.78636400 0.06709900 0.03138500 0.02272730 0.02173910 0.02095540 0.01666670 0.01612900 0.01297200 0.00367650	13.266146454735575	97.63568872688359
Coinfection-nanopore2023-5%-error-2%-minor-variant	[('Omicron', 0.9655733793273465), ('Delta', 0.01923079232565954), ('Other', 0.013898060087139634)]	BA.2.24 BA.2 XAH BA.2.52 BA.2.51 BA.2.12 BA.2.3.1 AY.44 B.1.418 XAR B.1.1.529 AY.120 B.1.617	0.82703165 0.02990901 0.02317142 0.01818180 0.01666670 0.01639341 0.01639339 0.01639338 0.01117076 0.01090799 0.00691800 0.00283741 0.00272730	12.385601743553682	97.63568872688359
Coinfection-nanopore2023-5%-error-10%-minor-variant	[('Omicron', 0.8666669514998372), ('Delta', 0.13114800103851665), ('Other', 0.0021850111192933085)]	BA.2.24 AY.41 XZ B.1.617.2 BA.2.11 BA.2.76 AY.103.2 B.1.151	0.79072336 0.09433960 0.03549800 0.03114800 0.02674700 0.01369860 0.00566040 0.00218501	14.181679106803475	97.79955188442631
Coinfection-nanopore2023-20%-error-2%-minor-variant	[('Omicron', 0.9696967523948796), ('Delta', 0.02702700569577305), ('Other', 0.003276066973408872)]	BA.2.24 BA.4.8 BA.2.22 AY.44 BA.2.23 BA.2.19 XE AY.39 XAD B.1.1.529 B.1.105 XV	0.85686642 0.03389780 0.01923080 0.01814069 0.01768385 0.01470590 0.01424499 0.00888632 0.00633299 0.00418000 0.00327607 0.00255400	11.978260919970182	97.59555897401599
Coinfection-nanopore2023-10%-error-2%-minor-variant	[('Omicron', 0.9607839848179925), ('Delta', 0.0392156909883233)]	BA.2.24 BA.2.64 BA.2 AY.41 BA.2.33 BA.2.72 BA.2.3.2 XT AY.46.1 B.1.1.529	0.81684329 0.04166670 0.03001700 0.02564100 0.01785710 0.01694920 0.01666670 0.01454500 0.01357469 0.00623900	11.996326424351597	97.62900043473898
Coinfection-nanopore2023-20%-error-10%-minor-variant	[('Omicron', 0.8717949794760916), ('Delta', 0.11904798867422738), ('Other', 0.00915701151992678)]	BA.2.24 BA.2 AY.41 BA.2.23 BA.2.49 AY.106 BA.2.11 BA.2.63 AY.33 BA.2.6 BA.2.23.1 AY.43.5 B.1.617.2 B.1.274 BA.5.3.3 AY.111	0.66042910 0.05784200 0.04255320 0.03846150 0.02631580 0.02631580 0.02279300 0.02040820 0.01960780 0.01886790 0.01851850 0.01818180 0.01094000 0.00915701 0.00815900 0.00144939	14.257608199708564	97.62565628866669
Coinfection-nanopore2023-5%-error-20%-minor-variant	[('Omicron', 0.820895674547537), ('Delta', 0.17910388313074763)]	BA.2.24 AY.41 BA.2.23 B.1.1.529 BA.2.44 AY.105 BA.2.63 AY.125 BA.2.34 XAG AY.111	0.65163589 0.14035100 0.04364329 0.04311804 0.03225806 0.02040765 0.01923078 0.01724135 0.01562500 0.01538462 0.00110388	13.317984950176896	98.67906230144132
Coinfection-nanopore2023-10%-error-5%-minor-variant	[('Omicron', 0.9583329957752761), ('Delta', 0.03636359728681121), ('Other', 0.005303398485097163)]	BA.2.62 BA.2.24 BA.2 BA.2.11 BA.2.85 BA.2.3.2 BA.2.26 BA.2.37 BA.2.33 AY.44 BA.2.23.1 AY.41 BA.2.23 BA.5.3.3 B.1.395 AY.118 B.1.1.529 BA.2.87 BA.2.3.17	0.40494919 0.36364131 0.03199400 0.01960780 0.01851850 0.01818180 0.01818180 0.01724140 0.01694920 0.01694920 0.01679956 0.01666670 0.01519443 0.01287800 0.00530340 0.00274770 0.00181100 0.00133600 0.00104900	11.590153694718612	97.63234458081129
Coinfection-nanopore2023-5%-error-50%-minor-variant	[('Delta', 0.4952209997814496), ('Omicron', 0.4677419989332555), ('Other', 0.0370369994099533)]	AY.41 BA.2.69 BA.2.11 BA.2 BA.2.62 AY.44 AY.106 BA.2.63 BA.2.30 BA.2.12.2 AY.45 B.1.1.462 AY.29 AY.86 B.1.103 B.1.1.529 B.1.1.12 BA.2.12.1	0.41176500 0.27907000 0.04477900 0.04279200 0.04042560 0.01960780 0.01923080 0.01818180 0.01666670 0.01639340 0.01612900 0.01562500 0.01478980 0.01369860 0.01333330 0.00828300 0.00807870 0.00115050	18.50233283247254	99.57194930274554
