Position,AY.132_50%_and_AY.63_50%_position_base_counts.csv_Total_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_A_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_C_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_G_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_T_reads,AY.132_50%_and_AY.63_50%_position_base_counts.csv_A_proportion,AY.132_50%_and_AY.63_50%_position_base_counts.csv_C_proportion,AY.132_50%_and_AY.63_50%_position_base_counts.csv_G_proportion,AY.132_50%_and_AY.63_50%_position_base_counts.csv_T_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_Total_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_A_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_C_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_G_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_T_reads,AY.132_80%_and_AY.63_20%_position_base_counts.csv_A_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_C_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_G_proportion,AY.132_80%_and_AY.63_20%_position_base_counts.csv_T_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_Total_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_A_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_C_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_G_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_T_reads,AY.132_90%_and_AY.63_10%_position_base_counts.csv_A_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_C_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_G_proportion,AY.132_90%_and_AY.63_10%_position_base_counts.csv_T_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_Total_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_A_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_C_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_G_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_T_reads,AY.132_95%_and_AY.63_5%_position_base_counts.csv_A_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_C_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_G_proportion,AY.132_95%_and_AY.63_5%_position_base_counts.csv_T_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_Total_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_A_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_C_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_G_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_T_reads,AY.132_98%_and_AY.63_2%_position_base_counts.csv_A_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_C_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_G_proportion,AY.132_98%_and_AY.63_2%_position_base_counts.csv_T_proportion
6402,4226.0,29,1673,35,2489,0.0068622811168954,0.3958826313298627,0.0082820634169427,0.5889730241362992,4534.0,38,660,38,3798,0.0083811204234671,0.1455668284075871,0.0083811204234671,0.8376709307454786,4711.0,44,335,50,4282,0.0093398429208236,0.0711101676926342,0.0106134578645722,0.9089365315219698,4815.0,41,166,47,4561,0.0085150571131879,0.0344755970924195,0.009761163032191,0.9472481827622016,4840.0,47,85,43,4665,0.0097107438016528,0.0175619834710743,0.0088842975206611,0.9638429752066116
7124,3494.0,35,1560,27,1872,0.0100171722953634,0.4464796794504865,0.0077275329135661,0.5357756153405838,3658.0,26,611,32,2989,0.0071077091306724,0.1670311645708037,0.0087479496992892,0.8171131765992345,3719.0,29,309,30,3351,0.0077977951062113,0.083086851304114,0.0080666845926324,0.9010486689970422,3720.0,29,178,26,3487,0.0077956989247311,0.0478494623655914,0.0069892473118279,0.9373655913978496,3621.0,36,64,25,3496,0.0099420049710024,0.0176746755040044,0.0069041701187517,0.9654791494062414
7886,3303.0,1916,35,1332,20,0.5800787163184984,0.0105964274901604,0.4032697547683924,0.0060551014229488,3572.0,2955,31,557,29,0.8272676371780515,0.0086786114221724,0.1559350503919372,0.0081187010078387,3686.0,3331,31,289,35,0.9036896364622896,0.008410200759631,0.078404774823657,0.0094953879544221,3864.0,3663,34,139,28,0.9479813664596274,0.0087991718426501,0.0359730848861283,0.0072463768115942,3763.0,3648,26,61,28,0.9694392771724688,0.0069093808131809,0.0162104703693861,0.0074408716449641
7945,3297.0,36,1377,26,1858,0.010919017288444,0.4176524112829845,0.0078859569305429,0.5635426144980286,3429.0,26,568,29,2806,0.0075823855351414,0.1656459609215514,0.0084572761738116,0.8183143773694955,3589.0,27,300,33,3229,0.0075229869044302,0.0835887433825578,0.0091947617720813,0.8996935079409306,3641.0,30,137,27,3447,0.0082394946443284,0.0376270255424334,0.0074155451798956,0.9467179346333424,3625.0,38,66,37,3484,0.0104827586206896,0.0182068965517241,0.0102068965517241,0.961103448275862
8964,2881.0,25,1526,24,1306,0.0086775425199583,0.5296771954182575,0.00833044081916,0.453314821242624,2924.0,28,2342,24,530,0.0095759233926128,0.8009575923392613,0.0082079343365253,0.1812585499316005,3015.0,27,2661,30,297,0.008955223880597,0.882587064676617,0.0099502487562189,0.0985074626865671,2996.0,24,2803,32,137,0.0080106809078771,0.9355807743658212,0.0106809078771695,0.0457276368491321,3034.0,33,2923,21,57,0.0108767303889255,0.9634146341463414,0.0069215557020435,0.0187870797626895
8986,2813.0,21,1339,32,1421,0.0074653394952008,0.476004265908283,0.0113757554212584,0.5051546391752577,2761.0,22,527,22,2190,0.0079681274900398,0.1908728721477725,0.0079681274900398,0.7931908728721477,2848.0,18,301,24,2505,0.0063202247191011,0.105688202247191,0.0084269662921348,0.879564606741573,2820.0,19,144,28,2629,0.0067375886524822,0.051063829787234,0.0099290780141843,0.9322695035460992,2814.0,24,59,27,2704,0.0085287846481876,0.0209665955934612,0.009594882729211,0.96090973702914
9053,2711.0,31,19,1306,1355,0.0114348948727406,0.0070084839542604,0.4817410549612689,0.49981556621173,2728.0,31,20,498,2179,0.0113636363636363,0.0073313782991202,0.1825513196480938,0.7987536656891495,2841.0,13,23,287,2518,0.0045758535726856,0.00809574093629,0.1010207673354452,0.886307638155579,2795.0,26,26,129,2614,0.0093023255813953,0.0093023255813953,0.0461538461538461,0.9352415026833631,2735.0,20,24,43,2648,0.0073126142595978,0.0087751371115173,0.0157221206581352,0.9681901279707495
9857,3095.0,23,1488,24,1560,0.0074313408723747,0.4807754442649434,0.0077544426494345,0.5040387722132472,3017.0,24,2365,23,605,0.0079549221080543,0.7838912827311899,0.0076234670202187,0.2005303281405369,3047.0,19,2691,29,308,0.0062356416147029,0.8831637676403019,0.0095175582540203,0.1010830324909747,3014.0,16,2823,29,146,0.0053085600530856,0.9366290643662908,0.0096217650962176,0.0484406104844061,3090.0,23,2968,31,68,0.0074433656957928,0.9605177993527508,0.0100323624595469,0.0220064724919093
9891,3176.0,33,1480,29,1634,0.0103904282115869,0.4659949622166247,0.0091309823677581,0.5144836272040302,3098.0,28,2418,26,626,0.0090380890897353,0.7805035506778567,0.0083925112976113,0.2020658489347966,3190.0,22,2829,20,319,0.0068965517241379,0.886833855799373,0.006269592476489,0.1,3184.0,27,2953,40,164,0.0084798994974874,0.9274497487437184,0.0125628140703517,0.0515075376884422,3243.0,28,3120,27,68,0.0086339808818994,0.962072155411656,0.0083256244218316,0.020968239284613
10029,3416.0,28,1733,33,1622,0.0081967213114754,0.5073185011709602,0.0096604215456674,0.474824355971897,3295.0,28,700,36,2531,0.0084977238239757,0.212443095599393,0.0109256449165402,0.768133535660091,3256.0,33,364,22,2837,0.0101351351351351,0.1117936117936117,0.0067567567567567,0.8713144963144963,3262.0,36,181,28,3017,0.0110361741263028,0.0554874310239117,0.0085836909871244,0.924892703862661,3252.0,26,73,31,3122,0.0079950799507995,0.0224477244772447,0.0095325953259532,0.9600246002460024
11161,3744.0,1794,33,1879,38,0.4791666666666667,0.0088141025641025,0.5018696581196581,0.0101495726495726,3735.0,2918,31,748,38,0.7812583668005355,0.0082998661311914,0.2002677376171352,0.0101740294511378,3737.0,3294,25,386,32,0.8814557131388815,0.0066898581750066,0.1032914102221033,0.0085630184640085,3697.0,3454,32,176,35,0.9342710305653232,0.0086556667568298,0.0476061671625642,0.0094671355152826,3628.0,3489,39,66,34,0.9616868798235942,0.0107497243660418,0.0181918412348401,0.0093715545755237
11201,3735.0,1871,27,1810,27,0.5009370816599732,0.0072289156626506,0.4846050870147255,0.0072289156626506,3668.0,699,35,2893,41,0.1905670665212649,0.0095419847328244,0.7887131952017448,0.0111777535441657,3653.0,360,25,3241,27,0.0985491376950451,0.0068436901177114,0.8872159868601149,0.0073911853271283,3654.0,170,36,3422,26,0.0465243568691844,0.0098522167487684,0.9365079365079364,0.0071154898741105,3629.0,62,28,3516,23,0.0170845963075227,0.0077156241388812,0.968861945439515,0.006337834114081
11332,3744.0,1784,32,1911,17,0.4764957264957264,0.0085470085470085,0.5104166666666666,0.0045405982905982,3805.0,709,37,3033,26,0.1863337713534822,0.009724047306176,0.7971090670170828,0.0068331143232588,3801.0,367,20,3384,30,0.0965535385424888,0.0052617732175743,0.8902920284135754,0.0078926598263614,3724.0,207,36,3440,41,0.0555853920515574,0.0096670247046186,0.9237379162191192,0.0110096670247046,3785.0,82,33,3634,36,0.0216644649933949,0.0087186261558784,0.9601056803170408,0.0095112285336856
11418,3686.0,30,1675,32,1949,0.0081389039609332,0.4544221378187737,0.0086814975583288,0.5287574606619642,3885.0,31,651,38,3165,0.0079794079794079,0.1675675675675675,0.0097812097812097,0.8146718146718147,3827.0,32,325,38,3432,0.0083616409720407,0.084922916122289,0.0099294486542984,0.8967859942513718,3896.0,38,160,44,3654,0.0097535934291581,0.0410677618069815,0.0112936344969199,0.9378850102669404,3888.0,32,68,33,3755,0.0082304526748971,0.0174897119341563,0.0084876543209876,0.9657921810699588
11488,3858.0,30,1978,40,1810,0.0077760497667185,0.5127008812856402,0.0103680663556246,0.4691550025920166,3922.0,30,3142,33,717,0.0076491585925548,0.8011218765935747,0.0084140744518103,0.1828148903620601,3854.0,37,3435,29,353,0.0096004151530877,0.8912817851582772,0.0075246497145822,0.0915931499740529,3971.0,37,3752,29,153,0.0093175522538403,0.9448501636867288,0.0073029463611181,0.0385293376983127,3921.0,32,3774,37,78,0.0081611833715888,0.9625095638867636,0.0094363682733996,0.0198928844682478
11514,3845.0,32,2044,28,1741,0.0083224967490247,0.5315994798439532,0.0072821846553966,0.4527958387516255,4015.0,38,3269,28,680,0.009464508094645,0.8141967621419676,0.0069738480697384,0.1693648816936488,3957.0,29,3541,34,353,0.0073287844326509,0.8948698508971443,0.0085923679555218,0.0892089967146828,4080.0,35,3860,36,149,0.008578431372549,0.946078431372549,0.0088235294117647,0.0365196078431372,4055.0,35,3915,32,73,0.0086313193588162,0.9654747225647348,0.0078914919852034,0.0180024660912453
13019,3697.0,33,2757,28,879,0.0089261563429807,0.7457397890181228,0.0075737084122261,0.2377603462266702,4587.0,39,4126,41,381,0.0085022890778286,0.8994985829518204,0.0089383039023326,0.0830608240680183,4862.0,38,4592,31,201,0.0078157136980666,0.944467297408474,0.0063759769642122,0.0413410119292472,4944.0,42,4739,43,120,0.0084951456310679,0.9585355987055016,0.0086974110032362,0.0242718446601941,5122.0,48,4977,49,48,0.0093713393205778,0.9716907458024208,0.0095665755564232,0.0093713393205778
13335,3116.0,26,2762,31,297,0.0083440308087291,0.886392811296534,0.0099486521181001,0.0953145057766367,4214.0,33,4025,37,119,0.0078310393925011,0.9551495016611296,0.0087802562885619,0.0282392026578073,4707.0,43,4543,37,84,0.0091353303590397,0.965158274909709,0.0078606330996388,0.0178457616316124,4835.0,48,4693,41,53,0.0099276111685625,0.9706308169596692,0.0084798345398138,0.0109617373319544,5006.0,37,4875,43,51,0.0073911306432281,0.9738314023172192,0.008589692369157,0.0101877746703955
14246,3460.0,2785,22,624,29,0.8049132947976878,0.0063583815028901,0.1803468208092485,0.0083815028901734,4594.0,4293,40,216,45,0.934479756203744,0.0087070091423596,0.0470178493687418,0.0097953852851545,4745.0,4537,36,137,35,0.9561643835616438,0.0075869336143308,0.028872497365648,0.0073761854583772,4938.0,4768,45,77,48,0.9655731065208586,0.0091130012150668,0.0155933576346699,0.0097205346294046,5060.0,4933,44,54,29,0.974901185770751,0.008695652173913,0.0106719367588932,0.0057312252964426
14408,3335.0,36,35,28,3236,0.0107946026986506,0.0104947526236881,0.0083958020989505,0.9703148425787106,4096.0,41,54,36,3965,0.010009765625,0.01318359375,0.0087890625,0.968017578125,4455.0,37,54,44,4320,0.0083052749719416,0.0121212121212121,0.0098765432098765,0.9696969696969696,4549.0,49,47,40,4413,0.0107715981534403,0.0103319410859529,0.0087931413497471,0.9701033194108596,4669.0,38,48,49,4534,0.0081387877489826,0.0102805739987149,0.0104947526236881,0.9710858856286144
15451,3439.0,3358,27,24,30,0.9764466414655424,0.0078511195114858,0.0069787728990985,0.0087234661238732,3660.0,3552,38,41,29,0.9704918032786886,0.0103825136612021,0.0112021857923497,0.0079234972677595,3735.0,3648,24,34,29,0.976706827309237,0.0064257028112449,0.009103078982597,0.007764390896921,3814.0,3704,27,43,40,0.9711588883062402,0.0070791819611955,0.0112742527530152,0.010487676979549,3871.0,3782,37,29,23,0.977008524928959,0.0095582536812193,0.0074916042366313,0.0059416171531903
16466,3518.0,32,42,37,3407,0.0090960773166571,0.0119386014781125,0.0105173393973848,0.9684479818078454,3544.0,37,52,39,3416,0.0104401805869074,0.0146726862302483,0.0110045146726862,0.963882618510158,3595.0,36,36,40,3483,0.0100139082058414,0.0100139082058414,0.0111265646731571,0.96884561891516,3553.0,37,39,32,3445,0.0104137348719392,0.0109766394596115,0.0090064734027582,0.9696031522656908,3508.0,35,49,34,3390,0.0099771949828962,0.0139680729760547,0.0096921322690992,0.9663625997719498
18213,3314.0,1550,23,1709,32,0.4677127338563669,0.0069402534701267,0.5156910078455039,0.0096560048280024,3309.0,2546,47,682,34,0.7694167422181928,0.0142036869144756,0.2061045633121789,0.0102750075551526,3341.0,2950,31,331,29,0.8829691709069141,0.0092786590841065,0.0990721340915893,0.00868003591739,3366.0,3120,34,183,29,0.926916221033868,0.0101010101010101,0.0543672014260249,0.0086155674390968,3216.0,3081,31,75,29,0.9580223880597016,0.009639303482587,0.023320895522388,0.0090174129353233
19126,3450.0,1691,33,1691,35,0.4901449275362319,0.0095652173913043,0.4901449275362319,0.0101449275362318,3409.0,2671,35,678,25,0.7835142270460546,0.0102669404517453,0.1988853036080962,0.0073335288941038,3484.0,3091,31,341,21,0.8871986222732492,0.0088978185993111,0.0978760045924225,0.0060275545350172,3503.0,3285,22,169,27,0.9377676277476448,0.006280331144733,0.0482443619754496,0.0077076791321724,3474.0,3356,30,58,30,0.9660333909038572,0.0086355785837651,0.0166954519286125,0.0086355785837651
19220,3524.0,23,1786,32,1683,0.0065266742338251,0.5068104426787742,0.0090805902383654,0.4775822928490352,3495.0,31,745,40,2679,0.0088698140200286,0.2131616595135908,0.0114449213161659,0.7665236051502146,3486.0,27,376,36,3047,0.0077452667814113,0.1078600114744693,0.0103270223752151,0.8740676993689042,3402.0,24,177,37,3164,0.0070546737213403,0.0520282186948853,0.0108759553203997,0.9300411522633744,3419.0,30,66,27,3296,0.0087744954665106,0.0193038900263234,0.0078970459198596,0.9640245685873062
19500,3429.0,20,1544,35,1830,0.0058326042578011,0.4502770487022455,0.0102070574511519,0.5336832895888014,3243.0,34,2428,19,762,0.0104841196423065,0.7486894850447117,0.0058587727412889,0.2349676225716928,3203.0,26,2795,25,357,0.0081173899469247,0.8726194192944114,0.0078051826412738,0.1114580081173899,3191.0,17,2985,14,175,0.0053274835474772,0.9354434346599813,0.0043873393920401,0.0548417424005014,3173.0,32,3035,27,79,0.0100850929719508,0.956508036558462,0.0085092971950835,0.0248975732745036
19908,3304.0,1895,27,1358,24,0.573547215496368,0.0081719128329297,0.4110169491525424,0.0072639225181598,3041.0,736,23,2245,37,0.2420256494574153,0.0075633015455442,0.7382439986846432,0.0121670503123972,2921.0,363,26,2513,19,0.124272509414584,0.0089010612803834,0.860321807600137,0.0065046217048955,2836.0,200,21,2591,24,0.0705218617771509,0.0074047954866008,0.91361071932299,0.0084626234132581,2847.0,73,24,2720,30,0.0256410256410256,0.0084299262381454,0.9553916403231472,0.0105374077976817
21618,3130.0,27,38,3036,29,0.008626198083067,0.0121405750798722,0.9699680511182108,0.0092651757188498,3163.0,35,32,3072,24,0.0110654441985456,0.010116977552956,0.9712298450837812,0.007587733164717,3165.0,30,26,3083,26,0.0094786729857819,0.008214849921011,0.974091627172196,0.008214849921011,3201.0,26,28,3118,29,0.0081224617307091,0.0087472664792252,0.9740706029365824,0.0090596688534832,3145.0,31,32,3059,23,0.0098569157392686,0.010174880763116,0.9726550079491256,0.0073131955484896
21846,3321.0,27,1623,27,1644,0.008130081300813,0.4887082204155374,0.008130081300813,0.4950316169828365,3224.0,28,660,24,2512,0.0086848635235732,0.2047146401985111,0.0074441687344913,0.7791563275434243,3302.0,28,346,36,2892,0.0084797092671108,0.1047849788007268,0.0109024833434282,0.8758328285887341,3212.0,29,170,28,2985,0.0090286425902864,0.0529265255292652,0.0087173100871731,0.9293275217932752,3244.0,30,62,37,3115,0.0092478421701602,0.0191122071516646,0.0114056720098643,0.9602342786683108
21987,3455.0,3370,27,30,28,0.975397973950796,0.0078147612156295,0.0086830680173661,0.0081041968162083,3405.0,3319,16,34,36,0.9747430249632892,0.0046989720998531,0.0099853157121879,0.0105726872246696,3393.0,3318,23,34,18,0.97789566755084,0.0067786619510757,0.0100206307102858,0.0053050397877984,3446.0,3355,30,35,26,0.973592571096924,0.0087057457922228,0.01015670342426,0.0075449796865931,3350.0,3269,20,34,27,0.975820895522388,0.0059701492537313,0.0101492537313432,0.0080597014925373
22227,3334.0,33,1673,40,1588,0.0098980203959208,0.5017996400719856,0.011997600479904,0.4763047390521895,3404.0,30,2673,25,676,0.008813160987074,0.7852526439482961,0.0073443008225616,0.1985898942420681,3331.0,42,2944,27,318,0.0126088261783248,0.8838186730711498,0.0081056739717802,0.0954668267787451,3436.0,31,3224,23,158,0.009022118742724,0.9383003492433062,0.0066938300349243,0.0459837019790454,3371.0,26,3259,35,51,0.0077128448531593,0.9667754375556216,0.0103826757638682,0.0151290418273509
22917,3541.0,24,30,3446,41,0.0067777463993222,0.0084721829991527,0.9731714205026828,0.0115786500988421,3509.0,25,29,3422,33,0.0071245369051011,0.0082644628099173,0.975206611570248,0.0094043887147335,3564.0,35,31,3466,32,0.0098204264870931,0.0086980920314253,0.9725028058361392,0.0089786756453423,3539.0,27,31,3441,40,0.0076292738061599,0.0087595365922577,0.9723085617406046,0.0113026278609776,3535.0,31,23,3450,31,0.0087694483734087,0.0065063649222065,0.975954738330976,0.0087694483734087
22995,3626.0,3529,36,23,38,0.9732487589630446,0.0099282956425813,0.0063430777716492,0.0104798676227247,3633.0,3539,35,33,26,0.9741260666116156,0.0096339113680154,0.0090834021469859,0.0071566198733828,3561.0,3432,45,47,37,0.9637742207245156,0.012636899747262,0.0131985397360292,0.0103903397921932,3554.0,3444,42,32,36,0.9690489589195272,0.0118176702307259,0.0090039392234102,0.0101294316263365,3622.0,3529,39,28,26,0.9743235781336278,0.0107675317504141,0.0077305356156819,0.007178354500276
23403,3642.0,33,39,3541,29,0.0090609555189456,0.0107084019769357,0.972267984623833,0.0079626578802855,3626.0,34,31,3527,34,0.0093767236624379,0.0085493656922228,0.9726971869829012,0.0093767236624379,3615.0,36,27,3517,35,0.0099585062240663,0.0074688796680497,0.972890733056708,0.0096818810511756,3686.0,37,22,3593,34,0.0100379815518176,0.005968529571351,0.9747693977211068,0.0092240911557243,3633.0,36,39,3530,28,0.0099091659785301,0.0107349298100743,0.9716487751169832,0.0077071290944123
