Position,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_Total_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_A_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_C_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_G_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_T_reads,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_A_proportion,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_C_proportion,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_G_proportion,AY.107_50%_and_BA.2.3_50%_position_base_counts.csv_T_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_Total_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_A_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_C_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_G_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_T_reads,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_A_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_C_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_G_proportion,AY.107_80%_and_BA.2.3_20%_position_base_counts.csv_T_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_Total_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_A_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_C_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_G_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_T_reads,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_A_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_C_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_G_proportion,AY.107_90%_and_BA.2.3_10%_position_base_counts.csv_T_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_Total_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_A_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_C_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_G_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_T_reads,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_A_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_C_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_G_proportion,AY.107_95%_and_BA.2.3_5%_position_base_counts.csv_T_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_Total_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_A_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_C_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_G_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_T_reads,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_A_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_C_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_G_proportion,AY.107_98%_and_BA.2.3_2%_position_base_counts.csv_T_proportion
4321,4216.0,30,1629,32,2525,0.0071157495256166,0.3863851992409867,0.0075901328273244,0.5989089184060721,3760.0,33,2590,22,1115,0.0087765957446808,0.6888297872340425,0.0058510638297872,0.2965425531914893,3471.0,30,2923,28,490,0.0086430423509075,0.8421204263900893,0.0080668395275136,0.1411696917314895,3453.0,23,3156,31,243,0.0066608746017955,0.9139878366637706,0.0089777005502461,0.0703735881841876,3419.0,18,3287,29,85,0.0052646972799064,0.961392219947353,0.0084820122842936,0.0248610704884469
6402,3267.0,29,2473,28,737,0.0088766452402816,0.7569635751453934,0.0085705540250994,0.2255892255892256,2304.0,21,986,25,1272,0.0091145833333333,0.4279513888888889,0.0108506944444444,0.5520833333333334,2032.0,16,523,18,1475,0.0078740157480314,0.2573818897637795,0.0088582677165354,0.7258858267716536,1833.0,14,224,13,1582,0.0076377523186033,0.1222040370976541,0.0070921985815602,0.8630660120021822,1660.0,17,73,23,1547,0.0102409638554216,0.0439759036144578,0.0138554216867469,0.9319277108433734
8986,3137.0,28,1492,38,1579,0.0089257252151737,0.4756136436085432,0.0121134842205929,0.5033471469556902,3086.0,31,593,30,2432,0.010045366169799,0.1921581335061568,0.0097213220998055,0.7880751782242384,3005.0,23,286,15,2681,0.0076539101497504,0.0951747088186356,0.0049916805324459,0.8921797004991681,3090.0,27,143,33,2887,0.0087378640776699,0.0462783171521035,0.0106796116504854,0.934304207119741,3128.0,20,65,25,3018,0.0063938618925831,0.0207800511508951,0.0079923273657289,0.9648337595907928
8991,3138.0,28,1618,22,1470,0.0089228808158062,0.5156150414276609,0.0070108349267049,0.4684512428298279,3125.0,21,2525,22,557,0.00672,0.808,0.00704,0.17824,3066.0,26,2749,27,264,0.0084801043705153,0.8966079582517938,0.0088062622309197,0.086105675146771,3107.0,27,2935,22,123,0.0086900547151593,0.9446411329256518,0.0070807853234631,0.0395880270357257,3183.0,26,3073,30,54,0.0081683945962928,0.9654414074772228,0.0094250706880301,0.0169651272384542
9053,3087.0,29,24,1470,1564,0.0093942338840298,0.0077745383867832,0.4761904761904761,0.5066407515387107,3117.0,31,25,553,2508,0.0099454603785691,0.0080205325633622,0.177414180301572,0.8046198267564967,3078.0,28,25,289,2736,0.0090968161143599,0.0081221572449642,0.0938921377517868,0.8888888888888888,2983.0,30,25,153,2775,0.0100569896077774,0.0083808246731478,0.0512906469996647,0.93027153871941,3057.0,25,23,49,2960,0.0081779522407589,0.0075237160614982,0.0160287863918874,0.9682695453058554
9333,2653.0,22,1453,14,1164,0.0082924990576705,0.5476818695816057,0.0052770448548812,0.4387485865058424,2536.0,17,522,14,1983,0.0067034700315457,0.2058359621451104,0.0055205047318611,0.7819400630914827,2493.0,14,253,20,2206,0.0056157240272763,0.1014841556357801,0.0080224628961091,0.8848776574408344,2525.0,11,138,18,2358,0.0043564356435643,0.0546534653465346,0.0071287128712871,0.933861386138614,2493.0,15,49,15,2414,0.0060168471720818,0.0196550340954673,0.0060168471720818,0.968311271560369
9344,2720.0,25,1270,17,1408,0.0091911764705882,0.4669117647058823,0.00625,0.5176470588235295,2683.0,25,2128,24,506,0.0093179276928811,0.7931420052180395,0.0089452105851658,0.1885948565039135,2672.0,17,2387,18,250,0.0063622754491017,0.8933383233532934,0.0067365269461077,0.093562874251497,2718.0,17,2556,15,130,0.0062545989698307,0.9403973509933776,0.0055187637969094,0.0478292862398822,2692.0,15,2627,13,37,0.0055720653789004,0.975854383358098,0.0048291233283803,0.0137444279346211
9424,3084.0,1630,27,1392,35,0.5285343709468223,0.0087548638132295,0.4513618677042801,0.0113488975356679,3120.0,2541,34,517,28,0.8144230769230769,0.0108974358974358,0.1657051282051282,0.0089743589743589,3233.0,2904,47,258,24,0.8982369316424373,0.0145375811939375,0.0798020414475719,0.0074234457160532,3231.0,3052,20,143,16,0.944599195295574,0.0061900340451872,0.0442587434230888,0.0049520272361497,3257.0,3150,25,58,24,0.9671476819158736,0.0076757752533005,0.0178077985876573,0.0073687442431685
9534,3165.0,29,1794,30,1312,0.0091627172195892,0.566824644549763,0.0094786729857819,0.4145339652448657,3200.0,29,2637,27,507,0.0090625,0.8240625,0.0084375,0.1584375,3352.0,33,3023,31,265,0.0098448687350835,0.9018496420047732,0.0092482100238663,0.0790572792362768,3324.0,25,3136,26,137,0.0075210589651022,0.9434416365824309,0.0078219013237063,0.0412154031287605,3431.0,27,3318,34,52,0.0078694258233751,0.9670649956280968,0.009909647333139,0.0151559312153891
9866,3005.0,23,1618,29,1335,0.0076539101497504,0.5384359400998336,0.0096505823627287,0.4442595673876872,3078.0,24,2513,27,514,0.0077972709551656,0.8164392462638077,0.0087719298245614,0.1669915529564652,3155.0,29,2848,24,254,0.0091917591125198,0.9026941362916008,0.007606973058637,0.0805071315372424,3200.0,27,3018,20,135,0.0084375,0.943125,0.00625,0.0421875,3236.0,23,3136,27,50,0.0071075401730531,0.969097651421508,0.0083436341161928,0.0154511742892459
10029,3203.0,28,39,26,3110,0.0087418045582266,0.0121760849203871,0.0081173899469247,0.9709647205744616,3336.0,27,34,23,3252,0.0080935251798561,0.0101918465227817,0.00689448441247,0.974820143884892,3372.0,37,39,32,3264,0.0109727164887307,0.0115658362989323,0.0094899169632265,0.9679715302491104,3326.0,30,34,25,3237,0.0090198436560432,0.010222489476849,0.007516536380036,0.9732411304870716,3325.0,34,30,25,3236,0.0102255639097744,0.0090225563909774,0.0075187969924812,0.9732330827067668
10198,3296.0,31,1798,33,1434,0.0094053398058252,0.5455097087378641,0.01001213592233,0.4350728155339806,3444.0,25,2776,29,614,0.0072590011614401,0.8060394889663183,0.0084204413472706,0.1782810685249709,3590.0,31,3257,24,278,0.0086350974930362,0.9072423398328692,0.0066852367688022,0.0774373259052924,3544.0,48,3322,28,146,0.0135440180586907,0.9373589164785552,0.0079006772009029,0.041196388261851,3506.0,28,3408,28,42,0.0079863091842555,0.9720479178551056,0.0079863091842555,0.0119794637763833
10447,3448.0,1579,23,1822,24,0.4579466357308585,0.0066705336426914,0.5284222737819025,0.0069605568445475,3497.0,607,25,2843,22,0.1735773520160137,0.0071489848441521,0.8129825564769803,0.0062911066628538,3516.0,327,19,3132,38,0.0930034129692832,0.0054038680318543,0.8907849829351536,0.0108077360637087,3537.0,157,37,3323,20,0.0443878993497314,0.0104608425219112,0.939496748657054,0.0056545094713033,3547.0,60,33,3438,16,0.0169157034113335,0.0093036368762334,0.9692698054694108,0.0045108542430222
10449,3461.0,1582,1827,26,26,0.4570933256284311,0.527882114995666,0.0075122796879514,0.0075122796879514,3480.0,622,2799,20,39,0.178735632183908,0.8043103448275862,0.0057471264367816,0.0112068965517241,3525.0,316,3164,23,22,0.0896453900709219,0.8975886524822695,0.0065248226950354,0.006241134751773,3539.0,163,3320,25,31,0.046058208533484,0.9381181124611472,0.007064142413111,0.0087595365922577,3546.0,57,3440,19,30,0.0160744500846023,0.970107163000564,0.0053581500282007,0.0084602368866328
11201,3937.0,2018,24,1857,38,0.5125730251460503,0.0060960121920243,0.4716789433578867,0.0096520193040386,3824.0,802,33,2958,31,0.2097280334728033,0.0086297071129707,0.7735355648535565,0.0081066945606694,3726.0,395,33,3274,24,0.1060118089103596,0.0088566827697262,0.878690284487386,0.0064412238325281,3711.0,223,25,3429,34,0.0600916195095661,0.0067367286445701,0.9240097008892482,0.0091619509566154,3731.0,80,32,3591,28,0.0214419726614848,0.0085767890645939,0.9624765478424016,0.0075046904315197
11332,4039.0,2083,39,1880,37,0.5157217132953701,0.0096558554097548,0.4654617479574152,0.0091606833374597,3815.0,813,42,2923,37,0.2131061598951507,0.0110091743119266,0.7661861074705112,0.0096985583224115,3883.0,398,32,3410,43,0.1024980685037342,0.0082410507339685,0.8781869688385269,0.0110739119237702,3842.0,215,28,3565,34,0.055960437272254,0.0072878709005726,0.9279021343050494,0.0088495575221238,3772.0,82,33,3617,40,0.0217391304347826,0.0087486744432661,0.9589077412513256,0.0106044538706256
12880,4969.0,39,2453,48,2429,0.0078486617025558,0.4936606963171664,0.0096598913262225,0.4888307506540551,4967.0,36,3964,44,923,0.0072478357157237,0.7980672438091403,0.0088584658747735,0.1858264546003624,5087.0,38,4507,45,497,0.0074700216237468,0.885983880479654,0.0088460782386475,0.0977000196579516,5087.0,46,4748,56,237,0.0090426577550619,0.933359543935522,0.0110084529192058,0.0465893453902103,5059.0,47,4869,54,89,0.0092903735916188,0.9624431705870724,0.0106740462542004,0.0175924095671081
13329,4856.0,34,2455,27,2340,0.0070016474464579,0.5055601317957167,0.0055601317957166,0.4818780889621087,4942.0,52,3905,54,931,0.0105220558478348,0.7901659247268312,0.0109267503035208,0.188385269121813,4993.0,43,4445,38,467,0.0086120568796314,0.8902463448828359,0.0076106549168836,0.0935309433206489,4973.0,38,4647,45,243,0.0076412628192238,0.9344460084456064,0.0090488638648703,0.0488638648702996,4961.0,36,4795,58,72,0.0072566014916347,0.9665390042330176,0.0116911912920782,0.0145132029832695
14408,4240.0,26,37,37,4140,0.0061320754716981,0.0087264150943396,0.0087264150943396,0.9764150943396226,4474.0,35,61,37,4341,0.0078229772016092,0.0136343316942333,0.0082700044702726,0.9702726866338848,4526.0,40,47,33,4406,0.0088378258948298,0.0103844454264251,0.0072912063632346,0.9734865223155104,4582.0,52,50,44,4436,0.0113487560017459,0.0109122653862941,0.0096027935399388,0.9681361850720208,4743.0,36,58,47,4602,0.0075901328273244,0.0122285473329116,0.009909340080118,0.9702719797596456
15012,4005.0,1860,37,2077,31,0.4644194756554307,0.0092384519350811,0.5186017478152309,0.0077403245942571,4158.0,779,52,3295,32,0.1873496873496873,0.0125060125060125,0.7924482924482924,0.0076960076960076,4144.0,355,29,3723,37,0.0856660231660231,0.0069980694980694,0.8984073359073359,0.0089285714285714,4158.0,179,28,3917,34,0.043049543049543,0.0067340067340067,0.942039442039442,0.0081770081770081,4199.0,53,32,4076,38,0.0126220528697308,0.0076208621100261,0.9707073112645868,0.0090497737556561
15451,3812.0,1918,35,1826,33,0.5031479538300105,0.0091815320041972,0.4790136411332634,0.0086568730325288,3916.0,3098,30,752,36,0.7911133810010215,0.0076608784473953,0.1920326864147089,0.0091930541368743,3925.0,3471,35,384,35,0.8843312101910829,0.0089171974522292,0.0978343949044586,0.0089171974522292,3869.0,3625,33,172,39,0.93693460842595,0.0085293357456707,0.044455931765314,0.0100801240630653,3890.0,3727,51,77,35,0.9580976863753212,0.0131105398457583,0.0197943444730077,0.0089974293059125
15714,3681.0,39,1936,31,1675,0.0105949470252648,0.525944036946482,0.0084216245585438,0.4550393914697093,3744.0,25,2968,34,717,0.0066773504273504,0.7927350427350427,0.0090811965811965,0.1915064102564102,3840.0,21,3425,35,359,0.00546875,0.8919270833333334,0.0091145833333333,0.0934895833333333,3806.0,38,3570,29,169,0.0099842354177614,0.9379926431949552,0.0076195480819758,0.0444035733053074,3853.0,34,3712,40,67,0.0088242927588891,0.963405138852842,0.0103815208928107,0.017389047495458
16466,3539.0,30,1802,29,1678,0.0084769708957332,0.5091833851370443,0.0081944051992088,0.4741452387680135,3610.0,31,755,42,2782,0.0085872576177285,0.2091412742382271,0.0116343490304709,0.7706371191135734,3592.0,30,375,29,3158,0.0083518930957683,0.1043986636971046,0.0080734966592427,0.8791759465478842,3510.0,41,201,46,3222,0.0116809116809116,0.0572649572649572,0.0131054131054131,0.917948717948718,3404.0,38,87,38,3241,0.0111633372502937,0.0255581668625146,0.0111633372502937,0.9521151586368978
17410,2737.0,23,1024,28,1662,0.0084033613445378,0.3741322616002923,0.0102301790281329,0.6072341980270369,2340.0,22,1626,13,679,0.0094017094017094,0.6948717948717948,0.0055555555555555,0.2901709401709402,2194.0,18,1858,21,297,0.0082041932543299,0.8468550592525068,0.0095715587967183,0.1353691886964448,2076.0,15,1890,18,153,0.0072254335260115,0.9104046242774566,0.0086705202312138,0.0736994219653179,2130.0,14,2046,15,55,0.0065727699530516,0.9605633802816902,0.0070422535211267,0.0258215962441314
18163,2967.0,1174,32,1739,22,0.3956858779912369,0.0107853050219076,0.586113919784294,0.0074148972025615,2599.0,1894,16,665,24,0.7287418237783763,0.006156213928434,0.2558676414005387,0.009234320892651,2499.0,2120,16,342,21,0.8483393357342938,0.0064025610244097,0.1368547418967587,0.0084033613445378,2423.0,2230,19,153,21,0.920346677672307,0.0078415187783739,0.0631448617416425,0.0086669418076764,2401.0,2297,21,62,21,0.9566847147022074,0.0087463556851311,0.0258225739275301,0.0087463556851311
19220,2332.0,23,1817,14,478,0.0098627787307032,0.7791595197255574,0.0060034305317324,0.2049742710120068,1566.0,10,820,16,720,0.0063856960408684,0.5236270753512133,0.0102171136653895,0.4597701149425287,1182.0,11,381,8,782,0.0093062605752961,0.3223350253807107,0.0067681895093062,0.6615905245346869,1049.0,10,183,13,843,0.0095328884652049,0.1744518589132507,0.0123927550047664,0.8036224976167778,943.0,8,37,5,893,0.0084835630965005,0.0392364793213149,0.0053022269353128,0.9469777306468716
19955,1529.0,11,14,14,1490,0.0071942446043165,0.0091563113145846,0.0091563113145846,0.974493132766514,603.0,7,6,5,585,0.011608623548922,0.0099502487562189,0.0082918739635157,0.9701492537313432,323.0,1,4,2,316,0.0030959752321981,0.0123839009287925,0.0061919504643962,0.978328173374613,125.0,2,1,1,121,0.016,0.008,0.008,0.968,30.0,0,0,0,30,0.0,0.0,0.0,1.0
20055,1428.0,23,15,1382,8,0.0161064425770308,0.0105042016806722,0.9677871148459384,0.0056022408963585,603.0,12,10,577,4,0.0199004975124378,0.0165837479270315,0.956882255389718,0.0066334991708126,280.0,0,2,275,3,0.0,0.0071428571428571,0.9821428571428572,0.0107142857142857,131.0,2,1,127,1,0.015267175572519,0.0076335877862595,0.9694656488549618,0.0076335877862595,26.0,0,0,26,0,0.0,0.0,1.0,0.0
21618,1544.0,16,13,10,1505,0.0103626943005181,0.0084196891191709,0.0064766839378238,0.9747409326424872,644.0,7,4,8,625,0.0108695652173913,0.0062111801242236,0.0124223602484472,0.970496894409938,330.0,3,4,2,321,0.009090909090909,0.0121212121212121,0.006060606060606,0.9727272727272728,154.0,1,4,2,147,0.0064935064935064,0.0259740259740259,0.0129870129870129,0.9545454545454546,42.0,0,0,0,42,0.0,0.0,0.0,1.0
21987,1628.0,1577,13,15,23,0.9686732186732188,0.0079852579852579,0.0092137592137592,0.0141277641277641,678.0,661,5,9,3,0.9749262536873156,0.0073746312684365,0.0132743362831858,0.0044247787610619,301.0,298,2,0,1,0.9900332225913622,0.0066445182724252,0.0,0.0033222591362126,133.0,128,2,1,2,0.962406015037594,0.0150375939849624,0.0075187969924812,0.0150375939849624,36.0,36,0,0,0,1.0,0.0,0.0,0.0
22200,1524.0,12,16,1484,12,0.0078740157480314,0.0104986876640419,0.973753280839895,0.0078740157480314,633.0,6,5,616,6,0.0094786729857819,0.0078988941548183,0.9731437598736176,0.0094786729857819,312.0,5,5,300,2,0.016025641025641,0.016025641025641,0.9615384615384616,0.0064102564102564,143.0,0,0,143,0,0.0,0.0,1.0,0.0,29.0,0,0,28,1,0.0,0.0,0.9655172413793104,0.0344827586206896
22578,1672.0,1609,13,30,20,0.9623205741626796,0.0077751196172248,0.0179425837320574,0.0119617224880382,715.0,675,4,27,9,0.944055944055944,0.0055944055944055,0.0377622377622377,0.0125874125874125,361.0,328,5,24,4,0.9085872576177284,0.0138504155124653,0.0664819944598338,0.0110803324099723,172.0,141,2,26,3,0.8197674418604651,0.0116279069767441,0.1511627906976744,0.0174418604651162,58.0,32,0,25,1,0.5517241379310345,0.0,0.4310344827586206,0.0172413793103448
22674,1357.0,11,41,9,1296,0.0081061164333087,0.030213706705969,0.006632277081798,0.955047899778924,557.0,4,85,2,466,0.0071813285457809,0.1526032315978456,0.0035906642728904,0.8366247755834829,370.0,7,96,1,266,0.0189189189189189,0.2594594594594595,0.0027027027027027,0.7189189189189189,229.0,2,103,3,121,0.0087336244541484,0.4497816593886463,0.0131004366812227,0.5283842794759825,119.0,0,98,0,21,0.0,0.8235294117647058,0.0,0.1764705882352941
22679,1333.0,7,1267,6,53,0.005251312828207,0.9504876219054764,0.0045011252813203,0.0397599399849962,552.0,3,457,3,89,0.0054347826086956,0.8278985507246377,0.0054347826086956,0.161231884057971,368.0,2,263,2,101,0.0054347826086956,0.7146739130434783,0.0054347826086956,0.2744565217391304,231.0,0,123,1,107,0.0,0.5324675324675324,0.0043290043290043,0.4632034632034632,126.0,0,23,2,101,0.0,0.1825396825396825,0.0158730158730158,0.8015873015873016
