Position,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_Total_reads,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_A_reads,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_C_reads,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_G_reads,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_T_reads,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_A_proportion,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_C_proportion,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_G_proportion,BA.1.10_50%_and_BA.2.5_50%_position_base_counts.csv_T_proportion,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_Total_reads,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_A_reads,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_C_reads,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_G_reads,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_T_reads,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_A_proportion,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_C_proportion,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_G_proportion,BA.1.10_80%_and_BA.2.5_20%_position_base_counts.csv_T_proportion,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_Total_reads,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_A_reads,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_C_reads,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_G_reads,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_T_reads,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_A_proportion,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_C_proportion,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_G_proportion,BA.1.10_90%_and_BA.2.5_10%_position_base_counts.csv_T_proportion,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_Total_reads,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_A_reads,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_C_reads,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_G_reads,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_T_reads,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_A_proportion,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_C_proportion,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_G_proportion,BA.1.10_95%_and_BA.2.5_5%_position_base_counts.csv_T_proportion,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_Total_reads,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_A_reads,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_C_reads,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_G_reads,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_T_reads,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_A_proportion,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_C_proportion,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_G_proportion,BA.1.10_98%_and_BA.2.5_2%_position_base_counts.csv_T_proportion
9424,2760.0,1382,30,1322,26,0.5007246376811594,0.0108695652173913,0.4789855072463768,0.0094202898550724,2858.0,2266,12,550,30,0.7928621413575927,0.0041987403778866,0.192442267319804,0.0104968509447165,2771.0,2456,19,271,25,0.8863226272103933,0.0068567304222302,0.0977986286539155,0.0090220137134608,2896.0,2698,35,141,22,0.9316298342541436,0.012085635359116,0.0486878453038674,0.0075966850828729,2858.0,2772,23,43,20,0.9699090272918124,0.0080475857242827,0.0150454863540937,0.006997900629811
9534,2820.0,14,1434,23,1349,0.0049645390070921,0.5085106382978724,0.0081560283687943,0.4783687943262411,2857.0,29,2287,25,516,0.0101505075253762,0.8004900245012251,0.008750437521876,0.1806090304515225,2846.0,24,2536,25,261,0.0084328882642304,0.8910751932536893,0.0087842586085734,0.0917076598735066,2904.0,32,2720,29,123,0.0110192837465564,0.9366391184573004,0.0099862258953168,0.0423553719008264,2858.0,19,2744,24,71,0.0066480055983205,0.960111966410077,0.0083974807557732,0.0248425472358292
9866,2808.0,25,1403,19,1361,0.0089031339031339,0.4996438746438746,0.0067663817663817,0.4846866096866097,2828.0,26,2223,23,556,0.0091937765205091,0.786067892503536,0.0081329561527581,0.1966053748231966,2736.0,20,2444,24,248,0.0073099415204678,0.8932748538011696,0.0087719298245614,0.0906432748538011,2804.0,22,2633,28,121,0.0078459343794579,0.9390156918687588,0.0099857346647646,0.0431526390870185,2803.0,20,2696,27,60,0.0071352122725651,0.9618266143417766,0.0096325365679628,0.0214056368176953
10029,3008.0,29,32,21,2926,0.0096409574468085,0.0106382978723404,0.0069813829787234,0.9727393617021276,3075.0,19,42,23,2991,0.0061788617886178,0.0136585365853658,0.0074796747967479,0.9726829268292684,2984.0,18,32,22,2912,0.0060321715817694,0.0107238605898123,0.0073726541554959,0.9758713136729222,3113.0,23,31,34,3025,0.0073883713459685,0.0099582396402184,0.0109219402505621,0.9717314487632508,3093.0,27,38,21,3007,0.008729388942774,0.0122858066602004,0.0067895247332686,0.9721952796637569
10198,3000.0,30,1501,22,1447,0.01,0.5003333333333333,0.0073333333333333,0.4823333333333333,3066.0,23,2431,29,583,0.007501630789302,0.7928897586431833,0.0094585779517286,0.190150032615786,3130.0,32,2780,32,286,0.0102236421725239,0.8881789137380192,0.0102236421725239,0.0913738019169329,3157.0,26,2983,24,124,0.0082356667722521,0.9448843839087742,0.0076021539436173,0.0392777953753563,3048.0,20,2948,24,56,0.0065616797900262,0.9671916010498688,0.0078740157480314,0.0183727034120734
10447,3420.0,1622,12,1758,28,0.4742690058479532,0.0035087719298245,0.5140350877192983,0.0081871345029239,3539.0,610,27,2875,27,0.1723650748799095,0.0076292738061599,0.8123763775077706,0.0076292738061599,3449.0,324,19,3086,20,0.093940272542766,0.0055088431429399,0.8947521020585677,0.0057987822557262,3484.0,137,23,3307,17,0.0393226176808266,0.006601607347876,0.9491963260619976,0.0048794489092996,3521.0,59,23,3420,19,0.0167566032377165,0.0065322351604657,0.9713149673388242,0.0053961942629934
10449,3404.0,3321,28,29,26,0.9756169212690952,0.008225616921269,0.0085193889541715,0.0076380728554641,3525.0,3443,33,23,26,0.9767375886524824,0.0093617021276595,0.0065248226950354,0.0073758865248226,3429.0,3335,27,39,28,0.9725867599883348,0.0078740157480314,0.0113735783027121,0.0081656459609215,3463.0,3356,33,35,39,0.969101934738666,0.0095293098469535,0.0101068437770719,0.0112619116373086,3491.0,3395,33,32,31,0.972500716127184,0.0094528788312804,0.0091664279576052,0.0088799770839301
11537,4209.0,2071,38,2053,47,0.4920408648134949,0.0090282727488714,0.4877643145640294,0.0111665478736041,4150.0,837,28,3244,41,0.2016867469879518,0.0067469879518072,0.7816867469879518,0.0098795180722891,4189.0,433,45,3691,20,0.1033659584626402,0.0107424206254476,0.8811172117450465,0.0047744091668656,4087.0,212,28,3817,30,0.0518717885979936,0.0068509909469048,0.9339368730119892,0.0073403474431123,4102.0,73,38,3961,30,0.0177961969770843,0.0092637737688932,0.9656265236470014,0.0073135056070209
12880,4971.0,37,2456,37,2441,0.0074431703882518,0.4940655803661235,0.0074431703882518,0.4910480788573728,5044.0,41,3980,35,988,0.0081284694686756,0.789056304520222,0.0069389373513084,0.1958762886597938,5009.0,46,4421,56,486,0.009183469754442,0.8826112996606109,0.0111798762227989,0.0970253543621481,4987.0,49,4647,40,251,0.0098255464206938,0.9318227391217164,0.0080208542209745,0.0503308602366152,5027.0,40,4816,63,108,0.0079570320270539,0.9580266560572906,0.0125323254426099,0.0214839864730455
13195,5186.0,33,2431,46,2676,0.006363285769379,0.4687620516775935,0.0088700347088314,0.5160046278441959,5208.0,55,4044,45,1064,0.0105606758832565,0.7764976958525346,0.0086405529953917,0.2043010752688172,5120.0,41,4495,44,540,0.0080078125,0.8779296875,0.00859375,0.10546875,5109.0,41,4737,45,286,0.0080250538265805,0.9271873165002936,0.0088079859072225,0.0559796437659033,4947.0,42,4771,35,99,0.0084899939357186,0.964422882555084,0.0070749949464321,0.0200121285627653
14408,4313.0,34,54,35,4190,0.0078831439833062,0.0125202875028982,0.0081150011592858,0.9714815673545096,3952.0,31,40,35,3846,0.0078441295546558,0.0101214574898785,0.0088562753036437,0.9731781376518218,3909.0,23,51,36,3799,0.005883857764134,0.0130468150422102,0.0092095165003837,0.971859810693272,3854.0,42,32,38,3742,0.0108977685521536,0.0083030617540217,0.0098598858329008,0.9709392838609238,3879.0,38,51,23,3767,0.0097963392626965,0.0131477184841453,0.0059293632379479,0.9711265790152102
15240,4237.0,35,2120,33,2049,0.0082605617181968,0.500354024073637,0.0077885296200141,0.483596884588152,4165.0,42,846,53,3224,0.0100840336134453,0.2031212484993997,0.0127250900360144,0.7740696278511404,4203.0,38,439,43,3683,0.0090411610754223,0.1044492029502736,0.0102307875327147,0.8762788484415893,4113.0,39,192,28,3854,0.0094821298322392,0.0466812545587162,0.0068076829564794,0.937028932652565,4097.0,36,93,45,3923,0.0087869172565291,0.0226995362460336,0.0109836465706614,0.9575298999267756
15714,3752.0,38,1878,29,1807,0.0101279317697228,0.5005330490405118,0.00772921108742,0.4816098081023454,3756.0,36,2992,33,695,0.0095846645367412,0.7965921192758253,0.0087859424920127,0.1850372736954206,3864.0,30,3443,44,347,0.0077639751552795,0.8910455486542443,0.0113871635610766,0.0898033126293995,3876.0,44,3612,41,179,0.0113519091847265,0.9318885448916407,0.0105779153766769,0.0461816305469556,3798.0,34,3648,31,85,0.0089520800421274,0.9605055292259084,0.0081621906266456,0.0223802001053185
17042,3454.0,1789,27,1610,28,0.5179502026635785,0.0078170237405906,0.4661262304574406,0.0081065431383902,3451.0,712,22,2680,37,0.2063170095624456,0.0063749637786148,0.7765864966676326,0.0107215299913068,3423.0,337,34,3024,28,0.0984516505988898,0.0099328074788197,0.8834355828220859,0.0081799591002045,3473.0,179,34,3234,26,0.0515404549380938,0.0097898070832133,0.9311834149150592,0.0074863230636337,3472.0,86,27,3327,32,0.0247695852534562,0.0077764976958525,0.95823732718894,0.0092165898617511
17410,3452.0,28,1726,40,1658,0.0081112398609501,0.5,0.0115874855156431,0.4803012746234067,3508.0,32,2781,41,654,0.0091220068415051,0.7927594070695553,0.0116875712656784,0.1864310148232611,3501.0,24,3111,40,326,0.0068551842330762,0.8886032562125107,0.0114253070551271,0.0931162524992859,3500.0,32,3286,36,146,0.0091428571428571,0.9388571428571428,0.0102857142857142,0.0417142857142857,3512.0,36,3370,40,66,0.010250569476082,0.9595671981776766,0.0113895216400911,0.0187927107061503
18163,3310.0,33,25,3215,37,0.0099697885196374,0.0075528700906344,0.9712990936555892,0.0111782477341389,3282.0,39,26,3189,28,0.0118829981718464,0.0079219987812309,0.9716636197440583,0.0085313833028641,3362.0,29,29,3283,21,0.0086258179654967,0.0086258179654967,0.9765020820939916,0.0062462819750148,3309.0,29,27,3223,30,0.008763977032336,0.0081595648232094,0.9740102750075552,0.0090661831368993,3257.0,26,27,3175,29,0.0079828062634326,0.0082898372735646,0.974823457169174,0.0089038992938286
19955,3627.0,25,1845,28,1729,0.0068927488282326,0.5086848635235732,0.0077198786876206,0.4767025089605735,3568.0,31,2857,29,651,0.0086883408071748,0.8007286995515696,0.0081278026905829,0.1824551569506726,3654.0,25,3280,29,320,0.0068418171866447,0.8976464148877942,0.0079365079365079,0.087575259989053,3663.0,35,3422,34,172,0.0095550095550095,0.9342069342069342,0.0092820092820092,0.0469560469560469,3647.0,25,3517,35,70,0.0068549492733753,0.964354263778448,0.0095969289827255,0.019193857965451
20055,3378.0,1736,25,1591,26,0.5139135583185317,0.0074008288928359,0.4709887507400829,0.0076968620485494,3429.0,2718,30,660,21,0.7926509186351706,0.0087489063867016,0.1924759405074365,0.0061242344706911,3436.0,3044,25,333,34,0.8859138533178114,0.0072759022118742,0.0969150174621653,0.009895227008149,3392.0,3143,31,186,32,0.9265919811320756,0.0091391509433962,0.0548349056603773,0.0094339622641509,3479.0,3357,29,60,33,0.964932451853981,0.0083357286576602,0.0172463351537798,0.0094854843345789
21618,2827.0,29,1289,26,1483,0.0102582242660063,0.4559603820304209,0.0091970286522815,0.5245843650512911,2797.0,19,2145,27,606,0.0067929924919556,0.7668930997497319,0.0096531998569896,0.2166607079013228,2656.0,22,2297,34,303,0.0082831325301204,0.8648343373493976,0.0128012048192771,0.1140813253012048,2573.0,18,2390,23,142,0.0069957248348231,0.9288767975126312,0.0089389817333851,0.0551884959191605,2679.0,17,2589,24,49,0.0063456513624486,0.9664053751399776,0.0089585666293393,0.0182904068682344
21762,2578.0,16,1684,14,864,0.0062063615205585,0.6532195500387897,0.0054305663304887,0.3351435221101629,2112.0,5,662,7,1438,0.0023674242424242,0.3134469696969697,0.0033143939393939,0.6808712121212122,1939.0,3,340,11,1585,0.001547189272821,0.1753481175863847,0.0056730273336771,0.8174316658071171,1924.0,2,152,12,1758,0.001039501039501,0.079002079002079,0.0062370062370062,0.9137214137214136,1863.0,2,57,10,1794,0.0010735373054213,0.0305958132045088,0.0053676865271068,0.9629629629629628
21846,2789.0,24,1623,21,1121,0.0086052348512011,0.5819290068124776,0.007529580494801,0.4019361778415202,2554.0,22,682,18,1832,0.0086139389193422,0.2670321064996084,0.0070477682067345,0.7173061863743148,2524.0,18,333,24,2149,0.0071315372424722,0.1319334389857369,0.0095087163232963,0.8514263074484945,2436.0,11,146,34,2245,0.0045155993431855,0.0599343185550082,0.0139573070607553,0.9215927750410507,2404.0,20,57,17,2310,0.0083194675540765,0.0237104825291181,0.007071547420965,0.9608985024958404
21987,1581.0,1528,15,19,19,0.9664769133459836,0.0094876660341555,0.0120177103099304,0.0120177103099304,604.0,575,7,17,5,0.9519867549668874,0.0115894039735099,0.0281456953642384,0.0082781456953642,320.0,303,1,15,1,0.946875,0.003125,0.046875,0.003125,168.0,151,0,15,2,0.8988095238095238,0.0,0.0892857142857142,0.0119047619047619,55.0,35,2,18,0,0.6363636363636364,0.0363636363636363,0.3272727272727272,0.0
22200,2100.0,17,17,1409,657,0.008095238095238,0.008095238095238,0.670952380952381,0.3128571428571428,1689.0,9,11,573,1096,0.0053285968028419,0.0065127294256956,0.3392539964476021,0.6489046773238603,1482.0,3,3,270,1206,0.0020242914979757,0.0020242914979757,0.1821862348178137,0.8137651821862348,1379.0,2,2,116,1259,0.0014503263234227,0.0014503263234227,0.0841189267585206,0.9129804205946338,1386.0,4,3,27,1352,0.0028860028860028,0.0021645021645021,0.0194805194805194,0.9754689754689756
22578,2475.0,2413,18,18,26,0.9749494949494948,0.0072727272727272,0.0072727272727272,0.0105050505050505,2164.0,2075,34,25,30,0.9588724584103512,0.0157116451016635,0.0115526802218114,0.0138632162661737,2034.0,1950,18,36,30,0.9587020648967552,0.0088495575221238,0.0176991150442477,0.0147492625368731,1886.0,1815,22,35,14,0.9623541887592788,0.0116648992576882,0.0185577942735949,0.0074231177094379,1887.0,1809,30,27,21,0.958664546899841,0.0158982511923688,0.0143084260731319,0.0111287758346581
22673,2022.0,11,815,6,1190,0.0054401582591493,0.4030662710187933,0.0029673590504451,0.5885262116716122,1832.0,11,1340,11,470,0.006004366812227,0.7314410480349345,0.006004366812227,0.2565502183406113,1717.0,11,1429,12,265,0.0064065230052417,0.8322655794991264,0.0069889341875364,0.1543389633080955,1697.0,13,1547,14,123,0.0076605774896876,0.9116087212728344,0.0082498526812021,0.0724808485562757,1634.0,9,1562,10,53,0.0055079559363525,0.95593635250918,0.0061199510403916,0.0324357405140758
22674,1971.0,14,18,5,1934,0.0071029934043632,0.0091324200913242,0.0025367833587011,0.9812278031456112,1809.0,14,18,8,1769,0.007739082365948,0.0099502487562189,0.0044223327805417,0.9778883360972912,1707.0,11,25,16,1655,0.0064440538957234,0.0146455770357352,0.0093731693028705,0.9695371997656708,1685.0,15,22,5,1643,0.0089020771513353,0.0130563798219584,0.0029673590504451,0.9750741839762612,1619.0,9,21,20,1569,0.0055589870290302,0.0129709697344039,0.0123533045089561,0.9691167387276096
22679,1951.0,12,1914,11,14,0.0061506919528446,0.9810353664787288,0.0056381342901076,0.0071758072783188,1820.0,6,1787,9,18,0.0032967032967032,0.9818681318681318,0.0049450549450549,0.0098901098901098,1720.0,11,1680,10,19,0.0063953488372093,0.9767441860465116,0.005813953488372,0.0110465116279069,1720.0,13,1681,15,11,0.0075581395348837,0.9773255813953488,0.0087209302325581,0.0063953488372093,1644.0,11,1598,15,20,0.0066909975669099,0.9720194647201946,0.0091240875912408,0.0121654501216545
22686,1962.0,15,18,11,1918,0.0076452599388379,0.0091743119266055,0.0056065239551478,0.9775739041794088,1909.0,16,13,16,1864,0.0083813514929282,0.0068098480880041,0.0083813514929282,0.9764274489261392,1844.0,10,19,13,1802,0.0054229934924078,0.0103036876355748,0.0070498915401301,0.9772234273318872,1825.0,9,22,6,1788,0.004931506849315,0.0120547945205479,0.0032876712328767,0.9797260273972602,1761.0,13,25,12,1711,0.0073821692220329,0.0141964792731402,0.0068143100511073,0.9716070414537196
22688,2017.0,948,5,1052,12,0.4700049578582052,0.0024789291026276,0.5215666831928607,0.0059494298463063,1993.0,1575,19,392,7,0.7902659307576518,0.0095333667837431,0.1966884094330155,0.0035122930255895,1945.0,1694,5,238,8,0.8709511568123394,0.0025706940874035,0.1223650385604113,0.0041131105398457,1935.0,1830,6,94,5,0.9457364341085271,0.0031007751937984,0.048578811369509,0.0025839793281653,1862.0,1822,9,25,6,0.9785177228786252,0.0048335123523093,0.0134264232008592,0.0032223415682062
22775,2241.0,1215,16,988,22,0.5421686746987951,0.0071396697902722,0.4408746095493083,0.0098170459616242,2168.0,505,19,1627,17,0.2329335793357933,0.0087638376383763,0.7504612546125461,0.0078413284132841,2065.0,227,17,1793,28,0.1099273607748184,0.0082324455205811,0.8682808716707022,0.0135593220338983,2116.0,113,18,1973,12,0.0534026465028355,0.0085066162570888,0.9324196597353496,0.0056710775047258,2050.0,37,17,1985,11,0.0180487804878048,0.0082926829268292,0.9682926829268292,0.0053658536585365
22786,2251.0,991,1227,18,15,0.4402487783207463,0.5450910706352732,0.0079964460239893,0.0066637050199911,2154.0,1627,493,19,15,0.755338904363974,0.2288765088207985,0.0088207985143918,0.0069637883008356,2060.0,1786,231,22,21,0.8669902912621359,0.112135922330097,0.0106796116504854,0.0101941747572815,2108.0,1968,109,16,15,0.9335863377609108,0.051707779886148,0.0075901328273244,0.0071157495256166,2042.0,1968,34,15,25,0.9637610186092068,0.0166503428011753,0.0073457394711067,0.0122428991185112
22813,2257.0,16,29,30,2182,0.0070890562693841,0.0128489144882587,0.0132919805050952,0.9667700487372618,2127.0,13,24,20,2070,0.006111894687353,0.0112834978843441,0.0094029149036201,0.9732016925246828,2046.0,23,13,14,1996,0.0112414467253176,0.0063538611925708,0.0068426197458455,0.975562072336266,2084.0,23,22,17,2022,0.0110364683301343,0.010556621880998,0.0081573896353166,0.9702495201535508,1982.0,28,18,18,1918,0.0141271442986881,0.0090817356205852,0.0090817356205852,0.9677093844601412
